,Wounded,Gender of Victims (M/F/Both),Targeted Specific Victim(s),Suicide (or attempted suicide) by Shooter (Y/N),Pre-planned school attack,Day of week (formula),School Type,Number of Shooters,Killed
247,12.0,2,0,1,1,4,0,1.0,2
248,1.0,0,1,0,0,3,2,1.0,0
249,0.0,0,0,0,0,4,0,1.0,1
250,1.0,0,1,1,0,3,0,1.0,0
251,1.0,0,1,1,0,1,2,1.0,0
252,0.0,2,1,1,-1,3,2,1.0,2
253,1.0,2,1,1,0,3,2,1.0,1
254,12.0,2,1,0,0,4,2,1.0,0
255,1.0,0,0,0,0,1,2,1.0,0
256,1.0,0,0,0,0,1,2,1.0,0
257,1.0,0,0,0,0,4,2,0,0
258,1.0,0,1,0,1,4,2,1.0,0
259,1.0,0,0,0,-1,4,0,1.0,0
260,1.0,1,-1,0,0,6,2,1.0,0
261,2.0,2,0,0,0,0,2,1.0,0
262,1.0,0,0,0,-1,2,2,1.0,0
263,0.0,0,1,0,0,2,0,1.0,1
264,2.0,0,1,0,0,1,2,1.0,0
265,0.0,0,1,0,0,2,2,1.0,1
266,1.0,0,1,0,0,0,2,1.0,0
267,0.0,-1,0,0,0,4,2,1.0,0
268,0.0,0,1,1,0,4,2,1.0,1
269,3.0,2,1,0,1,0,1,1.0,1
270,4.0,2,1,0,0,5,2,1.0,0
271,1.0,0,1,0,0,1,2,1.0,0
272,0.0,-1,1,0,0,1,2,1.0,0
273,1.0,1,1,1,0,3,1,1.0,0
274,1.0,0,1,0,0,2,2,1.0,0
275,1.0,1,0,0,0,2,1,1.0,0
276,1.0,0,1,0,0,0,2,1.0,0
277,2.0,0,1,0,0,4,2,1.0,0
278,2.0,0,0,0,0,2,2,1.0,0
279,0.0,0,1,0,0,1,2,1.0,1
280,7.0,2,-1,0,0,4,2,1.0,0
281,1.0,1,0,-1,-1,1,2,0,0
282,0.0,2,1,1,0,1,1,1.0,3
283,1.0,0,1,1,0,2,2,1.0,1
284,0.0,0,1,0,-1,1,2,1.0,1
285,0.0,-1,0,0,0,0,2,1.0,0
286,2.0,2,1,0,0,1,1,1.0,1
287,0.0,1,1,0,0,3,2,1.0,1
288,0.0,0,1,0,0,4,1,1.0,1
289,0.0,0,1,0,0,2,2,1.0,1
290,0.0,0,1,1,0,0,1,1.0,1
291,1.0,1,1,0,0,3,2,1.0,0
292,1.0,0,1,0,0,2,1,1.0,0
293,0.0,1,1,0,0,1,2,1.0,1
294,3.0,0,1,0,0,4,2,1.0,0
295,1.0,1,0,0,0,3,2,1.0,0
296,74.0,2,0,1,1,4,0,2.0,2
297,1.0,0,1,0,0,5,2,1.0,0
298,0.0,0,1,0,0,4,2,1.0,1
