gsId,name,old name,matching,shoot,type,gradeCategory,gradeRange,enrollment,parentRating,gsRating,district,districtId,districtNCESId,ncesId,address,city,gsID_census,Asian,"Black, non-Hispanic",Hispanic,Multiracial,Native American or Native Alaskan,Native Hawaiian or Other Pacific Islander,"White, non-Hispanic",actSatNumberParticipation,apCourseParticipation,apCoursePassed,freeAndReducedPriceLunch,idea,percentTeachersInFirstSecondYear,plan504
39,Berkeley Arts Magnet at Whittier School,,,0,public,K-5,K-5,448,4,8,Berkeley Unified School District,3,604740,60474000431,"1645 Milvia Street, 
Berkeley, CA  94709",Berkeley,39,11.61,13.62,14.51,16.74,0.22,0.45,42.86,867,33.4,1157,34.15,9.2,4.7,1
40,Willard Middle School,,,0,public,6-8,8-Jun,569,4,7,Berkeley Unified School District,3,604740,60474007267,"2425 Stuart Street, 
Berkeley, CA  94705",Berkeley,40,10.19,20.56,17.05,13.36,0,0.18,38.66,867,33.4,1157,45.69,16.4,3.2,1.3
41,Canyon Middle School,,,0,public,6-8,8-Jun,1412,4,7,Castro Valley Unified School District,4,607800,60780000740,"19600 Cull Canyon Road, 
Castro Valley, CA  94552",Castro Valley,41,31.44,7.37,24.93,10.34,0.07,0.5,25.35,867,33.4,1157,22.66,9.4,8.9,1.8
42,Castro Valley Elementary School,,,0,public,K-5,K-5,469,4,6,Castro Valley Unified School District,4,607800,60780000741,"20185 San Miguel Avenue, 
Castro Valley, CA  94546",Castro Valley,42,15.99,7.89,40.51,10.66,0.43,0.64,23.88,867,33.4,1157,41.15,6.6,5.9,0.5
43,Castro Valley High School,,,0,public,9-12,12-Sep,2977,4,9,Castro Valley Unified School District,4,607800,60780000742,"19400 Santa Maria Avenue, 
Castro Valley, CA  94546",Castro Valley,43,31.06,7.85,22.45,8.71,0.34,0.41,29.17,602,20.6,779,20.33,6.7,8.4,3.1
44,Chabot Elementary School,,,0,public,K-5,K-5,456,5,8,Castro Valley Unified School District,4,607800,60780007661,"19104 Lake Chabot Road, 
Castro Valley, CA  94546",Castro Valley,44,28.73,3.07,17.98,13.16,0,1.1,35.96,602,20.6,779,17.76,5.1,17,1.6
45,Creekside Middle School,,,0,public,6-8,8-Jun,793,5,7,Castro Valley Unified School District,4,607800,60780006909,"19722 Center Street, 
Castro Valley, CA  94546",Castro Valley,45,26.23,3.03,20.55,11.48,0.5,0.63,37.58,602,20.6,779,19.29,5.2,6.8,4.3
46,Independent Elementary School,,,0,public,K-5,K-5,653,5,8,Castro Valley Unified School District,4,607800,60780009342,"21201 Independent School Road, 
Castro Valley, CA  94552",Castro Valley,46,37.37,6.13,15.93,13.17,0.31,0.46,26.65,602,20.6,779,13.63,3.9,4.2,1.2
47,Jensen Ranch Elementary School,,,0,public,K-5,K-5,439,5,9,Castro Valley Unified School District,4,607800,60780004339,"20001 Carson Lane, 
Castro Valley, CA  94552",Castro Valley,47,49.2,5.01,8.66,13.67,0.23,0,23.23,602,20.6,779,5.24,3.3,0,0.5
48,Marshall Elementary School,,,0,public,K-5,K-5,477,5,8,Castro Valley Unified School District,4,607800,60780000746,"20111 Marshall Street, 
Castro Valley, CA  94546",Castro Valley,48,22.85,3.14,33.54,8.81,0.21,0.63,30.82,602,20.6,779,38.57,10.3,5.2,3
49,Palomares Elementary School,,,0,public,K-5,K-5,140,5,7,Castro Valley Unified School District,4,607800,60780000747,"6395 Palo Verde Road, 
Castro Valley, CA  94552",Castro Valley,49,11.43,3.57,23.57,11.43,0.71,0.71,48.57,602,20.6,779,12.86,2.7,0,0
50,Proctor Elementary School,,,0,public,K-5,K-5,501,4,9,Castro Valley Unified School District,4,607800,60780000749,"17520 Redwood Road, 
Castro Valley, CA  94546",Castro Valley,50,21.16,2.59,25.15,12.57,0,0.2,38.32,602,20.6,779,15.37,10.6,0,1.4
51,Redwood Continuation High School,,,0,public,9-12,12-Sep,141,4,6,Castro Valley Unified School District,4,607800,60780000744,"18400 Clifton Way, 
Castro Valley, CA  94546",Castro Valley,51,2.13,8.51,47.52,6.38,0.71,1.42,33.33,0,20.6,779,29.79,18.5,19.6,8.3
52,Stanton Elementary School,,,0,public,K-5,K-5,479,4,6,Castro Valley Unified School District,4,607800,60780009525,"2644 Somerset Avenue, 
Castro Valley, CA  94546",Castro Valley,52,28.81,7.1,27.35,10.65,0.21,0.63,25.26,0,20.6,779,30.27,5.9,0,0.9
53,Vannoy Elementary School,,,0,public,K-5,K-5,442,5,7,Castro Valley Unified School District,4,607800,60780000752,"5100 Vannoy, 
Castro Valley, CA  94546",Castro Valley,53,28.28,3.85,21.95,12.22,0,0,33.71,0,20.6,779,14.25,9.3,0,1.1
55,Dublin Elementary School,,,0,public,K-5,K-5,905,4,8,Dublin Unified School District,6,600019,60001906929,"7997 Vomac Road, 
Dublin, CA  94568",Dublin,55,28.48,3.45,19.36,9.37,0.49,0.74,38.1,0,20.6,779,9.37,9.3,2.7,2.3
56,Dublin High School,,,0,public,9-12,12-Sep,2273,4,10,Dublin Unified School District,6,600019,60001909273,"8151 Village Parkway, 
Dublin, CA  94568",Dublin,56,40.65,4.97,15.49,7.74,0.13,0.44,30.58,232,30.8,779,9.06,7.8,9.3,5.1
57,Frederiksen Elementary School,,,0,public,K-5,K-5,769,4,7,Dublin Unified School District,6,600019,60001909275,"7243 Tamarack Drive, 
Dublin, CA  94568",Dublin,57,28.48,5.46,22.89,8.84,0.13,0.39,33.81,232,30.8,779,17.56,12.4,0,2.2
58,Murray Elementary School,,,0,public,K-5,K-5,453,4,7,Dublin Unified School District,6,600019,60001909276,"8435 Davona Drive, 
Dublin, CA  94568",Dublin,58,22.74,3.75,24.28,9.27,0,0.44,39.51,232,30.8,779,14.57,15.4,0,1
60,Valley High (Continuation) School,,,0,public,9-12,12-Sep,56,3,6,Dublin Unified School District,6,600019,60001909274,"6901 York Drive, 
Dublin, CA  94568",Dublin,60,12.5,25,32.14,3.57,0,0,26.79,2,,,23.21,19.5,0,14.9
61,Wells Middle School,,,0,public,6-8,8-Jun,873,4,6,Dublin Unified School District,6,600019,60001909278,"6800 Penn Drive, 
Dublin, CA  94568",Dublin,61,22.11,7.22,20.16,9.28,0.11,0.11,41.01,2,,,17.75,9.8,0,3.6
