Asian,"Black, non-Hispanic",Hispanic,Multiracial,Native American or Native Alaskan,Native Hawaiian or Other Pacific Islander,"White, non-Hispanic",actSatNumberParticipation,apCourseParticipation,apCoursePassed,freeAndReducedPriceLunch,idea,percentTeachersInFirstSecondYear,plan504,gsId
56.77,4.92,18.15,6.31,0.62,1.08,12.15,768,64,2232,28.77,6.5,0,0.7,99
14.71,5.88,56.37,3.43,0.49,0.98,18.14,0,64,2232,60.78,6.4,5.7,2.6,100
67.85,3.07,10.27,4.89,0.33,0.25,13.34,0,64,2232,21.54,4.1,0,2.8,101
37.57,5.19,25.76,5.01,0.36,0.89,25.22,0,64,2232,29.7,7.9,0,1.9,102
32.37,4.94,39.09,3.02,0.69,1.37,18.52,0,64,2232,50.48,7.2,3,1.4,103
87.47,0.45,2.71,2.48,0.34,0,6.55,0,64,2232,4.74,3.2,0,2.1,104
65.33,2.48,11.88,6.37,0.32,1.19,12.42,0,64,2232,18.36,6.1,5.6,1.2,105
42.26,5.16,21.9,3.07,0.27,0.82,26.51,273,23.8,441,29.2,6.3,6.8,3.5,106
85.8,0.8,3.52,2.27,0,0.91,6.7,273,23.8,441,6.02,4.1,0,2.1,107
13.53,8.27,66.67,2.51,1,5.26,2.76,273,23.8,441,82.46,7.1,5.9,0,108
3.11,15.03,64.25,2.07,0.52,3.63,11.4,45,23.8,441,79.27,15.4,16.7,0,109
11.39,20.41,53.01,3.96,0.47,2.22,8.54,45,23.8,441,68.83,8.5,16.7,1.1,110
7.05,8.13,77.44,2.06,0.43,1.3,3.58,45,23.8,441,79.18,4.6,3.1,0.3,111
15.2,8.46,67.88,0.52,0.35,3.97,3.63,45,23.8,441,85.49,7.3,16.1,0.3,112
2.97,5.81,85.29,2.06,0.13,1.29,2.45,45,23.8,441,88.77,3.7,2.4,0,113
9.37,18.09,51.7,6.3,0,3.88,10.66,,,,62.84,8.8,15,0.8,114
38.29,11.61,39.51,4.07,0.2,4.28,2.04,,,,65.99,7.6,3.9,0.4,115
23.32,9.72,50.35,8.66,0.18,4.06,3.71,,,,63.43,9.7,0,0.3,116
14.73,7.69,68.13,2.42,0.44,3.96,2.64,,,,81.32,5.8,0.9,0.3,117
8.66,23.14,53.89,6.18,0.53,2.12,5.48,,,,75.97,12.5,2,0.8,118
5.57,4.36,85.37,1.22,0,2.26,1.22,,,,90.07,7.6,10.4,0.7,119
10.34,4.68,77.38,1.78,0.65,3.23,1.94,,,,86.91,6.9,16.4,0,120
