Asian,"Black, non-Hispanic",Hispanic,Multiracial,Native American or Native Alaskan,Native Hawaiian or Other Pacific Islander,"White, non-Hispanic",actSatNumberParticipation,apCourseParticipation,apCoursePassed,freeAndReducedPriceLunch,gsID,idea,percentTeachersInFirstSecondYear,plan504
14.73,7.69,68.13,2.42,0.44,3.96,2.64,,,,81.32,117.0,5.8,0.9,0.3
8.66,23.14,53.89,6.18,0.53,2.12,5.48,,,,75.97,118.0,12.5,2.0,0.8
5.57,4.36,85.37,1.22,0.0,2.26,1.22,,,,90.07,119.0,7.6,10.4,0.7
10.34,4.68,77.38,1.78,0.65,3.23,1.94,,,,86.91,120.0,6.9,16.4,0.0
9.87,16.39,59.87,1.84,0.19,3.48,8.35,177.0,18.8,198.0,75.19,121.0,7.4,14.8,0.6
9.15,12.42,60.78,7.84,1.31,1.96,6.54,177.0,18.8,198.0,75.16,122.0,2.9,6.8,0.0
18.24,8.94,64.75,1.1,0.61,2.69,3.67,177.0,18.8,198.0,81.64,124.0,8.6,13.5,0.0
6.61,7.85,77.55,2.2,0.41,2.34,3.03,177.0,18.8,198.0,88.15,125.0,6.3,3.9,0.3
27.33,9.56,51.82,1.44,0.3,3.53,6.02,176.0,10.3,112.0,69.24,127.0,8.0,14.3,0.0
21.38,8.49,57.08,2.52,0.47,3.93,6.13,176.0,10.3,112.0,73.74,129.0,10.9,10.3,0.6
23.69,6.94,58.21,3.89,0.34,3.89,3.05,176.0,10.3,112.0,79.02,130.0,6.2,11.6,0.0
13.62,9.14,66.9,3.97,0.34,3.62,2.41,176.0,10.3,112.0,83.45,131.0,4.0,5.6,0.0
23.24,4.75,60.56,4.4,0.0,4.4,2.64,176.0,10.3,112.0,79.58,132.0,6.8,15.7,0.0
6.53,4.22,77.96,2.86,0.0,4.49,3.95,176.0,10.3,112.0,84.35,133.0,12.6,0.0,0.0
27.22,9.46,44.83,5.97,0.87,5.82,5.82,176.0,10.3,112.0,58.95,135.0,8.8,7.6,0.0
6.02,13.38,67.06,4.68,0.33,2.51,6.02,176.0,10.3,112.0,81.61,136.0,8.9,3.8,0.0
14.91,7.5,69.32,0.54,0.23,4.4,3.09,160.0,16.4,83.0,82.92,137.0,10.5,6.1,0.2
21.89,14.0,53.25,3.16,0.79,2.56,4.34,160.0,16.4,83.0,68.64,138.0,4.8,7.5,0.0
6.94,3.95,83.81,1.09,0.41,2.86,0.95,160.0,16.4,83.0,91.97,139.0,4.0,0.0,0.0
7.41,9.55,73.68,0.97,0.58,3.12,4.68,160.0,16.4,83.0,89.08,140.0,7.8,7.7,0.3
7.09,2.42,32.05,11.59,0.0,0.0,46.86,160.0,16.4,83.0,23.51,143.0,14.1,5.2,1.4
13.66,2.11,26.18,5.37,0.81,0.49,51.38,160.0,16.4,83.0,20.0,144.0,14.1,16.8,4.3
10.1,1.18,29.29,9.09,0.0,0.17,50.17,160.0,16.4,83.0,21.89,145.0,32.9,6.0,0.5
4.55,2.27,46.21,4.55,0.0,0.76,41.67,0.0,16.4,83.0,51.52,146.0,7.2,16.2,0.0
9.82,2.74,31.08,6.28,0.32,0.0,49.76,0.0,16.4,83.0,28.82,147.0,13.4,4.1,1.1
9.96,1.55,24.58,7.29,0.34,0.34,55.95,479.0,28.5,542.0,15.06,148.0,9.8,9.1,2.9
8.78,1.2,41.12,7.39,0.4,0.4,40.72,479.0,28.5,542.0,41.72,149.0,12.6,4.5,0.7
8.97,1.78,29.32,6.41,0.28,0.5,52.73,265.0,24.2,397.0,20.35,151.0,9.7,2.5,1.8
6.11,1.36,77.38,2.71,0.23,0.23,11.99,265.0,24.2,397.0,78.73,152.0,11.5,4.6,0.0
9.28,0.63,17.51,7.28,0.21,0.53,64.56,265.0,24.2,397.0,9.92,153.0,8.8,9.2,4.1
9.77,1.09,35.81,10.08,0.16,0.78,42.33,265.0,24.2,397.0,30.7,154.0,12.6,8.1,0.4
5.38,0.96,70.45,3.11,0.24,0.48,19.38,265.0,24.2,397.0,63.04,156.0,16.3,16.5,0.9
8.12,2.21,34.13,11.25,0.18,0.0,44.1,265.0,24.2,397.0,20.66,157.0,15.4,0.0,0.0
13.33,0.68,18.5,12.24,0.14,0.27,54.83,265.0,24.2,397.0,10.2,158.0,11.7,0.0,0.5
6.86,0.26,16.69,8.15,0.39,0.26,67.4,265.0,24.2,397.0,4.14,159.0,13.2,0.0,1.3
0.0,0.0,42.11,0.0,10.53,0.0,47.37,265.0,24.2,397.0,68.42,160.0,18.6,0.0,0.0
56.14,5.72,25.15,6.2,0.24,1.67,4.89,265.0,24.2,397.0,48.87,161.0,8.6,0.0,0.2
60.11,7.38,18.88,5.75,0.0,2.27,5.61,265.0,24.2,397.0,35.63,162.0,9.1,5.7,1.6
24.38,5.22,59.03,3.43,0.23,2.1,5.61,265.0,24.2,397.0,55.37,165.0,10.3,4.7,0.9
14.4,6.95,66.56,4.47,1.66,2.15,3.81,265.0,24.2,397.0,70.86,168.0,9.2,0.0,0.3
37.56,4.79,40.64,5.94,0.46,1.71,8.9,265.0,24.2,397.0,42.35,169.0,8.4,0.0,0.9
44.16,7.8,33.98,4.64,0.24,3.19,5.98,562.0,25.6,774.0,41.18,170.0,8.3,2.5,1.0
57.04,6.21,19.57,5.85,0.12,1.91,9.31,562.0,25.6,774.0,33.29,171.0,8.2,0.0,0.5
16.74,4.86,66.95,3.86,1.14,3.0,3.43,562.0,25.6,774.0,63.09,172.0,6.9,0.0,0.6
7.89,7.89,68.42,1.32,0.0,2.63,11.84,0.0,25.6,774.0,60.53,173.0,13.7,0.0,2.0
38.4,5.94,28.57,7.05,0.37,2.23,17.44,0.0,25.6,774.0,23.75,174.0,8.7,0.0,0.7
11.39,2.23,72.52,3.96,0.5,2.48,6.93,0.0,25.6,774.0,67.57,175.0,13.4,1.1,0.0
18.1,2.3,40.23,11.21,0.0,2.01,26.15,0.0,25.6,774.0,24.71,176.0,10.2,12.5,1.7
17.57,3.22,50.99,7.43,0.25,2.48,18.07,0.0,25.6,774.0,41.83,177.0,11.2,1.0,1.0
26.27,5.08,60.17,1.98,0.28,1.41,4.8,0.0,25.6,774.0,65.25,178.0,12.6,0.0,1.0
19.06,3.68,61.87,3.68,0.0,2.34,9.36,0.0,25.6,774.0,65.55,179.0,15.2,7.9,0.6
23.49,5.09,49.58,3.17,0.4,1.87,16.41,0.0,22.2,315.0,42.11,180.0,12.7,1.3,0.8
19.57,6.74,52.73,3.53,0.21,1.71,15.51,0.0,22.2,315.0,48.56,181.0,17.2,0.6,1.0
10.97,3.01,76.77,3.23,0.0,1.94,4.09,0.0,22.2,315.0,74.19,182.0,13.7,4.3,0.3
21.49,3.18,54.38,7.16,0.0,2.39,11.41,0.0,22.2,315.0,50.13,183.0,17.7,1.0,1.0
16.58,29.14,46.26,2.41,0.27,0.53,4.81,0.0,22.2,315.0,85.83,184.0,8.3,12.5,0.5
42.75,19.08,30.53,0.76,0.0,0.76,6.11,0.0,22.2,315.0,83.97,185.0,2.6,55.6,0.0
46.97,24.46,19.48,4.11,0.43,0.22,4.33,0.0,22.2,315.0,86.36,186.0,14.1,0.0,0.4
31.09,25.34,21.42,7.83,0.98,0.12,13.22,0.0,22.2,315.0,62.55,187.0,14.5,33.0,0.5
3.59,25.14,64.09,1.1,0.0,3.87,2.21,0.0,22.2,315.0,81.77,188.0,16.1,4.5,0.0
7.06,67.66,14.13,6.32,0.37,2.97,1.49,0.0,22.2,315.0,85.5,191.0,16.4,12.5,0.0
6.7,8.47,10.76,15.34,0.18,0.35,58.2,0.0,22.2,315.0,14.11,194.0,6.7,26.1,1.8
9.33,41.63,18.42,8.37,0.0,0.24,22.01,0.0,22.2,315.0,56.94,195.0,16.7,26.7,0.4
40.44,19.12,12.25,14.22,0.0,0.49,13.48,0.0,22.2,315.0,58.33,196.0,7.1,6.7,0.0
7.33,10.67,8.89,12.67,0.0,0.0,60.44,0.0,22.2,315.0,8.67,199.0,7.4,6.7,0.0
10.95,36.32,47.76,2.49,1.0,0.5,1.0,9.0,22.2,315.0,74.63,200.0,9.5,12.5,0.8
9.55,51.27,18.47,6.37,0.64,0.0,13.69,9.0,22.2,315.0,78.34,202.0,17.4,0.0,0.0
1.9,43.67,51.27,0.63,0.0,1.27,1.27,4.0,22.2,315.0,71.52,203.0,8.8,20.0,0.0
56.67,14.0,22.27,3.87,0.4,0.4,2.4,4.0,22.2,315.0,90.4,205.0,8.3,14.7,0.0
3.92,51.47,42.65,0.49,0.0,1.47,0.0,4.0,22.2,315.0,93.63,207.0,16.7,8.7,0.0
16.31,29.41,40.91,4.01,1.6,1.07,6.68,4.0,22.2,315.0,86.9,208.0,9.9,10.0,0.0
32.34,16.17,45.38,2.64,0.33,0.99,2.15,4.0,22.2,315.0,94.55,209.0,8.3,4.0,0.0
15.04,20.13,16.15,11.73,0.0,0.22,36.73,4.0,22.2,315.0,36.06,210.0,7.5,0.0,0.0
3.65,69.71,17.88,4.38,0.0,2.55,1.82,4.0,22.2,315.0,71.17,212.0,7.8,10.4,0.8
18.18,34.92,29.75,5.17,0.62,2.07,9.3,4.0,22.2,315.0,78.72,213.0,16.6,15.2,0.3
2.51,13.13,81.84,1.12,0.0,0.56,0.84,4.0,22.2,315.0,93.85,216.0,6.7,0.0,1.3
10.93,7.92,7.65,15.3,0.0,0.0,58.2,4.0,22.2,315.0,5.46,217.0,7.8,6.9,0.0
6.48,45.05,40.27,2.73,0.68,0.34,4.44,4.0,22.2,315.0,93.86,218.0,4.3,0.0,0.0
5.0,61.36,21.36,5.0,0.91,2.27,4.09,4.0,22.2,315.0,86.82,219.0,15.8,11.4,0.0
9.06,25.28,17.74,16.6,0.75,0.0,30.57,4.0,22.2,315.0,23.77,221.0,7.2,0.0,0.0
14.98,57.0,9.12,8.47,0.0,1.95,8.47,4.0,22.2,315.0,94.14,222.0,19.9,18.8,0.0
18.94,14.76,62.12,1.39,0.0,0.0,2.79,4.0,22.2,315.0,86.63,224.0,7.8,9.1,0.8
9.35,59.81,20.09,3.27,0.0,1.4,6.07,4.0,22.2,315.0,91.59,225.0,14.2,5.9,0.6
28.62,37.21,23.43,4.11,0.0,1.79,4.83,4.0,22.2,315.0,75.31,228.0,6.8,9.1,0.0
80.81,7.84,4.05,3.92,0.0,0.27,3.11,4.0,22.2,315.0,70.0,230.0,5.5,7.4,0.0
2.32,13.89,81.19,0.58,0.0,1.16,0.87,4.0,28.8,0.0,96.96,234.0,13.0,35.3,0.0
6.19,38.12,42.82,4.95,0.5,5.45,1.98,4.0,28.8,0.0,92.82,235.0,6.6,5.9,0.0
18.99,30.89,44.05,4.3,0.0,0.51,1.27,4.0,28.8,0.0,92.91,236.0,12.6,11.8,0.6
2.0,32.0,61.5,2.5,0.25,0.75,1.0,4.0,28.8,0.0,95.25,237.0,15.6,5.0,0.0
2.44,5.78,87.56,1.33,0.22,0.67,2.0,4.0,28.8,0.0,94.44,241.0,2.0,0.0,0.0
12.47,15.29,15.76,10.59,0.71,1.41,43.76,4.0,28.8,0.0,23.29,242.0,10.3,0.0,0.5
11.06,13.17,14.47,19.35,0.0,0.0,41.95,4.0,28.8,0.0,15.45,243.0,0.9,5.6,0.4
10.88,40.15,21.04,7.74,0.36,1.45,18.38,4.0,28.8,0.0,50.42,244.0,13.4,19.7,0.2
5.79,57.85,18.6,7.44,4.13,1.24,4.96,4.0,28.8,0.0,75.21,245.0,12.0,0.0,0.0
4.21,7.89,84.74,1.05,0.0,0.0,2.11,4.0,28.8,0.0,88.42,246.0,12.0,0.0,0.0
33.23,34.68,26.78,2.4,0.13,0.69,2.08,332.0,20.5,41.0,88.19,247.0,11.6,4.2,0.6
19.74,31.4,18.2,6.5,0.15,0.25,23.76,484.0,26.4,522.0,47.92,248.0,9.8,16.8,0.7
1.29,66.34,22.65,2.59,0.65,4.53,1.94,,,,92.23,249.0,7.4,0.0,0.0
3.44,15.63,11.25,12.5,0.0,0.31,56.88,,,,22.19,250.0,2.6,0.0,0.0
6.02,55.87,20.92,9.17,0.57,0.0,7.45,,,,81.09,251.0,8.5,6.2,0.0
3.86,58.37,30.9,3.86,0.43,0.0,2.58,,,,92.7,252.0,8.0,0.0,1.1
10.03,17.27,15.6,15.88,0.84,0.28,40.11,,,,25.91,253.0,9.1,0.0,1.1
43.44,17.42,32.68,2.54,0.39,0.98,2.54,,,,96.28,254.0,11.1,32.2,0.0
14.29,23.89,18.97,11.48,0.23,1.17,29.98,,,,41.45,256.0,8.8,13.7,0.0
16.24,31.45,40.18,3.51,0.81,1.24,6.58,353.0,22.9,168.0,75.62,259.0,12.8,9.8,0.4
1.44,28.06,66.19,2.52,0.36,0.36,1.08,353.0,22.9,168.0,97.12,260.0,7.0,22.2,0.8
0.0,1.42,97.73,0.57,0.0,0.0,0.28,353.0,22.9,168.0,94.6,261.0,6.0,0.0,0.0
5.31,56.64,33.63,1.77,0.0,0.0,2.65,2.0,1.2,168.0,70.8,262.0,0.0,0.0,0.0
11.93,11.93,9.9,13.71,0.0,0.0,52.54,2.0,1.2,168.0,13.96,264.0,8.2,6.7,0.0
17.8,50.11,23.74,3.52,0.44,0.22,4.18,2.0,1.2,168.0,93.41,269.0,15.7,12.9,0.3
10.15,2.99,12.84,19.1,0.0,0.0,54.93,2.0,1.2,168.0,1.79,272.0,15.7,12.9,0.3
15.69,0.4,5.23,14.49,0.0,0.2,63.98,2.0,1.2,168.0,0.6,273.0,15.7,12.9,0.3
10.0,20.0,8.57,2.86,0.0,0.0,58.57,2.0,1.2,168.0,5.71,274.0,15.7,12.9,0.3
17.88,2.25,4.13,7.25,0.13,0.13,68.25,2.0,39.5,390.0,1.13,275.0,15.7,12.9,0.3
13.66,0.73,5.87,13.66,0.15,0.0,65.93,2.0,39.5,390.0,0.44,276.0,15.7,12.9,0.3
11.86,0.0,10.26,11.22,0.32,0.0,66.35,2.0,39.5,390.0,0.0,277.0,15.7,12.9,0.3
33.12,1.11,10.67,6.85,0.32,0.0,47.93,2.0,39.5,390.0,7.96,278.0,17.4,7.7,2.0
34.63,1.86,9.74,2.21,0.23,0.23,51.1,627.0,47.0,2016.0,5.97,279.0,7.0,2.1,1.9
46.06,0.97,5.7,7.76,0.0,0.48,39.03,627.0,47.0,2016.0,4.24,280.0,15.6,9.7,0.9
59.24,0.76,8.92,4.59,0.0,0.13,26.37,627.0,47.0,2016.0,6.88,281.0,8.6,3.6,0.5
37.36,2.49,9.16,3.45,0.24,0.34,46.95,619.0,43.0,1252.0,5.04,282.0,8.0,2.1,1.9
43.12,0.76,5.29,4.19,0.08,0.17,46.39,619.0,43.0,1252.0,4.87,283.0,9.7,3.3,1.8
37.83,1.88,8.7,6.52,0.43,0.43,44.2,619.0,43.0,1252.0,5.8,284.0,17.4,13.8,1.0
71.01,1.45,4.19,2.25,0.0,0.32,20.77,619.0,43.0,1252.0,5.48,285.0,9.4,7.7,0.6
